キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
;,0.104,0.000,3.769
;,0.089,0.059,3.933
;,0.106,0.046,4.068
;,0.060,0.043,4.217
tab,0.118,6.406,10.684
tab,0.075,0.556,11.358
esc,0.091,0.659,12.093
a,0.180,0.000,4.173
a,0.134,0.272,4.625
a,0.094,0.286,5.044
w,0.150,5.892,11.030
a,0.179,0.045,11.224
n,0.138,0.194,11.374
i,0.161,0.108,11.511
h,0.121,1.575,13.248
o,0.127,0.007,13.376
n,0.120,0.045,13.548
n,0.118,0.017,13.685
y,0.158,0.127,13.930
a,0.151,0.285,14.088
n,0.148,0.676,14.915
o,0.152,0.044,15.108
r,0.131,0.033,15.292
i,0.164,0.016,15.440
f,0.208,1.038,16.642
i,0.133,1.235,16.838
k,0.164,0.043,17.015
a,0.224,0.163,17.134
j,0.183,1.396,18.754
i,0.150,0.071,19.008
k,0.178,0.062,19.221
a,0.178,0.212,19.371
i,0.174,0.006,19.555
k,0.181,0.406,20.134
a,0.160,0.560,20.288
m,0.136,0.087,20.403
i,0.134,0.106,20.644
r,0.166,0.510,21.289
t,0.129,0.260,21.715
o,0.159,0.022,21.866
k,0.111,0.053,22.078
u,0.134,0.060,22.249
k,0.150,0.496,22.879
i,0.135,0.060,23.089
z,0.179,0.377,23.601
u,0.148,0.046,23.826
y,0.150,0.683,24.657
a,0.164,0.811,24.785
m,0.136,0.015,24.964
e,0.134,0.122,25.071
m,0.179,0.854,26.059
a,0.153,0.987,26.192
r,0.180,0.029,26.374
u,0.165,0.164,26.509
y,0.166,0.555,27.229
a,0.150,0.705,27.379
n,0.213,0.047,27.576
e,0.165,0.209,27.739
w,0.182,0.360,28.264
a,0.167,0.542,28.446
r,0.158,0.019,28.631
e,0.165,0.015,28.805
b,0.193,0.452,29.421
o,0.180,0.061,29.676
k,0.134,0.241,29.855
u,0.166,0.060,30.049
r,0.166,0.810,31.025
o,0.134,0.180,31.372
k,0.122,0.061,31.566
u,0.151,0.056,31.745
space,0.140,1.030,32.926
i,0.148,1.801,34.867
n,0.184,0.089,35.104
o,0.164,0.014,35.302
t,0.135,0.300,35.766
i,0.128,0.020,35.922
b,0.165,2.806,38.856
o,0.148,0.060,39.081
t,0.158,0.022,39.252
a,0.150,0.180,39.410
n,0.121,0.119,39.529
n,0.121,0.046,39.696
h,0.181,0.509,40.325
a,0.166,0.674,40.490
s,0.162,0.030,40.687
i,0.165,0.016,40.865
n,0.209,0.676,41.706
a,0.163,0.859,41.889
t,0.133,0.060,42.112
u,0.149,0.016,42.262
a,0.165,0.435,42.845
i,0.149,0.031,43.041
s,0.166,0.150,43.160
u,0.149,0.075,43.265
b,0.134,0.827,44.241
e,0.136,0.120,44.495
t,0.165,0.029,44.661
u,0.150,0.014,44.839
r,0.166,0.705,45.695
i,0.143,0.058,45.919
y,0.135,0.098,46.160
u,0.138,0.061,46.356
u,0.137,0.025,46.519
a,0.169,0.630,47.287
i,0.150,0.025,47.480
t,0.135,0.015,47.645
e,0.182,0.059,47.839
f,0.091,1.605,49.626
u,0.150,0.375,50.091
t,0.184,0.180,50.421
a,0.162,0.014,50.618
d,0.166,0.735,51.516
o,0.118,0.016,51.697
k,0.151,0.045,51.860
o,0.181,0.030,52.041
k,0.177,0.738,52.959
y,0.152,0.510,53.646
o,0.182,0.644,53.781
u,0.149,0.149,53.947
h,0.179,0.736,54.832
a,0.146,0.860,54.956
h,0.180,0.074,55.085
a,0.133,0.136,55.238
h,0.090,1.485,56.857
u,0.135,0.088,57.035
m,0.104,0.106,57.276
u,0.135,0.090,57.470
h,0.157,0.690,58.296
a,0.180,0.827,58.432
k,0.136,0.143,58.596
o,0.161,0.063,58.795
m,0.134,0.766,59.723
e,0.107,0.057,59.914
s,0.151,0.090,60.110
u,0.180,0.196,60.216
j,0.160,3.110,63.506
i,0.201,3.270,63.666
s,0.178,0.166,63.832
a,0.240,0.114,63.981
z,0.118,0.634,64.854
a,0.089,0.120,65.092
n,0.133,0.046,65.227
i,0.180,0.030,65.391
z,0.134,1.036,66.607
a,0.116,0.123,66.864
n,0.136,0.121,67.101
i,0.151,0.043,67.280
z,0.135,0.361,67.792
e,0.149,0.104,68.032
n,0.164,0.046,68.227
i,0.148,0.017,68.408
space,0.135,0.120,68.511
p,0.198,2.612,71.258
a,0.131,2.810,71.456
d,0.119,0.120,71.707
d,0.120,0.060,71.887
o,0.151,0.089,72.095
r,0.155,2.071,74.317
y,0.138,0.025,74.497
o,0.180,0.161,74.633
u,0.150,0.163,74.797
t,0.135,0.812,75.758
o,0.149,0.931,75.877
r,0.137,0.016,76.042
i,0.148,0.123,76.149
n,0.165,0.465,76.762
a,0.134,0.585,76.882
m,0.148,0.032,77.049
a,0.131,0.154,77.170
s,0.135,0.691,77.992
i,0.121,0.074,78.201
n,0.123,0.060,78.381
