Session_ID,True_Emotion,Time_Start_s,Time_End_s,Duration_Mean,Delay_Mean,APM,Duration_Var,Stop_Ratio
S001_PLACEHOLDER,ENTER_EMOTION_HERE,0.0,2.0,0.0,2.0,0.0,0.0,1.0
S001_PLACEHOLDER,ENTER_EMOTION_HERE,2.0,4.0,0.0,2.0,0.0,0.0,1.0
S001_PLACEHOLDER,ENTER_EMOTION_HERE,4.0,6.0,0.18683333333333332,0.051666666666666666,180.0,0.005813366666666666,0.4395
S001_PLACEHOLDER,ENTER_EMOTION_HERE,6.0,8.0,0.1125,0.163125,480.0,0.002056133333333333,0.09999999999999998
S001_PLACEHOLDER,ENTER_EMOTION_HERE,8.0,10.0,0.081,0.0625,60.0,0.0008000000000000004,0.919
S001_PLACEHOLDER,ENTER_EMOTION_HERE,10.0,12.0,0.0,2.0,0.0,0.0,1.0
S001_PLACEHOLDER,ENTER_EMOTION_HERE,12.0,14.0,0.0,2.0,0.0,0.0,1.0
S001_PLACEHOLDER,ENTER_EMOTION_HERE,14.0,16.0,0.0,2.0,0.0,0.0,1.0
S001_PLACEHOLDER,ENTER_EMOTION_HERE,16.0,18.0,0.0,2.0,0.0,0.0,1.0
S001_PLACEHOLDER,ENTER_EMOTION_HERE,18.0,20.0,0.0,2.0,0.0,0.0,1.0
S001_PLACEHOLDER,ENTER_EMOTION_HERE,20.0,22.0,0.0,2.0,0.0,0.0,1.0
S001_PLACEHOLDER,ENTER_EMOTION_HERE,22.0,24.0,0.10490000000000002,4.4235999999999995,300.0,0.0011325444444444447,0.4754999999999999
S001_PLACEHOLDER,ENTER_EMOTION_HERE,24.0,26.0,0.07,0.121,30.0,0.0,0.965
S001_PLACEHOLDER,ENTER_EMOTION_HERE,26.0,28.0,0.0,2.0,0.0,0.0,1.0
S001_PLACEHOLDER,ENTER_EMOTION_HERE,28.0,30.0,0.104,3.996,30.0,0.0,0.948
S001_PLACEHOLDER,ENTER_EMOTION_HERE,30.0,32.0,0.0,2.0,0.0,0.0,1.0
