キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
a,0.319,0.000,5.388
w,0.127,0.000,5.597
s,0.116,0.000,5.605
e,0.162,0.000,5.623
s,0.231,0.148,5.933
a,0.166,0.162,5.947
d,0.125,0.266,6.051
f,0.102,0.031,6.144
a,0.107,0.034,6.280
s,0.148,0.040,6.286
d,0.081,0.104,6.350
f,0.082,0.026,6.413
s,0.047,0.031,6.526
d,0.054,0.032,6.527
a,0.163,0.753,7.334
w,0.130,0.820,7.401
d,0.177,0.011,7.508
s,0.078,0.102,7.633
a,0.200,0.148,7.679
w,0.078,0.119,7.830
d,0.150,0.006,7.885
s,0.078,0.087,7.995
a,0.101,0.113,8.021
d,0.061,0.012,8.134
d,0.128,14.273,22.468
f,0.093,14.282,22.477
a,0.127,14.323,22.518
backspace,0.061,0.295,22.940
backspace,0.055,0.052,23.053
backspace,0.079,0.052,23.160
d,0.160,0.037,23.276
a,0.128,0.098,23.337
t,0.122,0.364,23.829
a,0.096,0.460,23.925
enter,0.070,0.121,24.142
2,0.104,3.996,28.208
