キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
ctrl,0.288,0.000,4.115
end,0.088,0.089,4.247
u,0.131,117.787,122.190
u,0.150,2.034,124.354
u,0.114,0.085,124.589
u,0.150,0.073,124.776
u,0.145,2.978,127.904
r,0.116,0.775,128.824
i,0.087,0.015,128.955
b,0.083,0.496,129.538
a,0.100,0.033,129.653
s,0.136,2.168,131.922
i,0.121,0.032,132.090
n,0.089,0.154,132.365
u,0.092,0.209,132.664
y,0.107,1.519,134.275
o,0.078,0.090,134.472
k,0.106,0.082,134.632
u,0.078,0.149,134.886
n,0.078,1.262,136.226
a,0.079,1.339,136.304
n,0.070,0.041,136.423
a,0.098,0.017,136.510
b,0.082,2.064,138.672
a,0.104,0.040,138.794
g,0.065,0.275,139.173
g,0.074,0.067,139.304
u,0.058,0.120,139.499
s,0.131,1.181,140.739
i,0.095,0.030,140.899
a,0.307,0.159,141.153
i,0.136,0.133,141.593
s,0.153,0.974,142.703
i,0.132,0.237,143.093
a,0.161,0.099,143.324
i,0.122,0.070,143.555
y,0.080,1.195,144.872
a,0.126,0.025,144.977
m,0.064,0.045,145.148
u,0.068,0.214,145.426
n,0.074,4.184,149.678
a,0.092,0.034,149.786
i,0.093,0.098,149.976
b,0.116,0.226,150.295
u,0.088,0.009,150.420
s,0.156,0.938,151.446
a,0.137,1.031,151.539
k,0.087,1.467,153.143
a,0.108,0.007,153.236
s,0.165,0.104,153.449
a,0.148,0.197,153.542
s,0.173,0.796,154.486
a,0.142,0.906,154.596
y,0.088,0.202,154.940
a,0.123,0.041,155.070
t,0.067,0.760,155.953
a,0.183,0.020,156.040
o,0.082,1.255,157.478
m,0.161,0.315,157.875
o,0.118,0.425,157.985
i,0.096,0.112,158.215
t,0.115,0.999,159.309
u,0.067,1.071,159.382
m,0.064,0.109,159.557
i,0.068,0.104,159.725
p,0.064,1.488,161.281
e,0.126,0.018,161.363
-,0.079,0.741,162.229
s,0.104,0.295,162.603
u,0.084,0.379,162.687
k,0.072,1.132,163.903
u,0.070,0.124,164.099
b,0.105,0.283,164.452
i,0.093,0.380,164.549
e,0.150,0.694,165.335
n,0.067,0.116,165.601
j,0.067,0.114,165.782
o,0.075,0.124,165.972
r,0.113,1.668,167.715
o,0.038,1.771,167.819
k,0.129,0.046,167.902
u,0.072,0.121,168.152
r,0.101,1.387,169.611
i,0.093,1.471,169.695
s,0.120,0.097,169.885
u,0.064,0.011,170.016
i,0.084,1.294,171.374
g,0.172,0.338,171.796
a,0.107,0.431,171.889
i,0.098,0.018,172.014
space,0.186,2.964,175.076
k,0.102,9.416,184.678
a,0.133,0.015,184.794
e,0.172,0.792,185.719
r,0.117,0.510,186.401
u,0.099,0.591,186.481
g,0.128,2.373,188.953
o,0.089,0.037,189.118
h,0.090,0.887,190.094
a,0.088,0.022,190.206
n,0.061,0.624,190.918
n,0.078,0.067,191.047
y,0.139,1.282,192.406
u,0.069,1.389,192.514
k,0.086,0.111,192.693
i,0.067,0.085,192.863
t,0.116,0.857,193.787
o,0.080,0.953,193.883
k,0.119,0.049,194.012
u,0.064,0.105,194.236
m,0.069,1.517,195.816
a,0.131,0.032,195.917
k,0.084,0.118,196.004
u,0.064,0.108,196.195
f,0.101,2.863,199.122
u,0.079,2.959,199.218
n,0.077,0.159,199.457
e,0.105,0.029,199.563
m,0.070,1.136,200.804
e,0.105,0.030,200.903
s,0.157,0.214,201.223
u,0.083,0.359,201.368
r,0.118,8.894,210.345
i,0.170,8.998,210.449
e,0.116,0.388,211.007
k,0.111,0.504,211.123
i,0.066,0.068,211.302
t,0.084,2.256,213.624
u,0.073,0.030,213.737
g,0.116,0.416,214.226
i,0.077,0.515,214.325
n,0.067,2.076,216.478
i,0.091,0.123,216.668
g,0.139,0.258,217.017
a,0.113,0.330,217.088
i,0.090,0.031,217.186
s,0.129,0.828,218.104
o,0.109,0.947,218.224
t,0.103,0.101,218.434
o,0.051,0.030,218.566
n,0.077,1.224,219.842
e,0.132,1.285,219.902
t,0.102,0.099,220.133
u,0.072,0.192,220.227
a,0.110,0.898,221.197
n,0.111,0.500,221.807
n,0.090,0.303,222.220
n,0.092,0.452,222.762
a,0.105,0.032,222.887
i,0.089,0.038,223.029
b,0.081,1.376,224.494
u,0.076,0.129,224.704
t,0.101,0.121,224.900
a,0.166,0.188,224.967
k,0.090,1.072,226.206
e,0.127,1.139,226.273
g,0.162,0.339,226.739
a,0.112,0.440,226.840
a,0.141,0.682,227.634
s,0.148,0.113,227.888
a,0.150,0.193,227.968
i,0.108,0.055,228.091
a,0.125,1.067,229.266
i,0.089,1.186,229.385
d,0.160,1.388,230.862
a,0.163,1.482,230.956
u,0.073,0.721,231.839
n,0.084,0.194,232.106
d,0.094,1.234,233.423
o,0.095,1.317,233.507
u,0.067,0.123,233.724
m,0.066,1.355,235.146
e,0.146,0.138,235.350
space,0.070,0.754,236.250
r,0.116,4.814,241.135
o,0.090,0.160,241.410
-,0.084,0.576,242.076
p,0.075,0.645,242.805
u,0.073,0.724,243.603
m,0.061,1.885,245.561
e,0.119,1.945,245.622
k,0.095,0.330,246.070
a,0.100,0.033,246.198
z,0.126,1.821,248.119
e,0.154,0.086,248.331
m,0.076,0.920,249.405
a,0.114,0.031,249.512
k,0.041,0.027,249.653
e,0.145,0.257,249.951
n,0.081,0.973,251.069
a,0.077,0.039,251.189
t,0.098,0.139,251.405
u,0.085,0.029,251.532
a,0.138,0.999,252.616
t,0.110,0.137,252.890
o,0.069,0.081,253.082
t,0.154,1.428,254.578
e,0.154,1.494,254.644
i,0.104,0.092,254.890
d,0.107,0.194,255.188
o,0.084,0.296,255.290
b,0.118,1.118,256.492
i,0.084,0.110,256.720
r,0.101,0.234,257.038
u,0.056,0.031,257.170
y,0.088,1.007,258.233
o,0.090,1.086,258.312
e,0.081,0.159,258.561
r,0.106,0.164,258.567
u,0.069,0.427,259.100
o,0.088,0.935,260.104
m,0.146,0.388,260.580
o,0.107,0.480,260.671
i,0.084,0.110,260.888
y,0.098,1.202,262.174
o,0.086,1.295,262.267
r,0.119,0.087,262.440
u,0.060,0.031,262.590
n,0.075,2.129,264.779
e,0.106,0.030,264.884
g,0.123,0.136,265.126
i,0.096,0.030,265.279
k,0.162,1.795,267.170
o,0.159,1.891,267.266
u,0.138,0.175,267.599
p,0.116,3.100,270.837
i,0.090,0.112,271.066
n,0.079,0.631,271.787
k,0.083,0.283,272.149
u,0.064,0.117,272.349
b,0.067,1.377,273.790
a,0.148,0.049,273.905
k,0.084,0.052,274.106
a,0.093,0.034,274.224
n,0.079,1.433,275.749
i,0.083,0.072,275.900
k,0.087,0.088,276.071
u,0.063,0.133,276.292
n,0.077,0.918,277.272
e,0.120,0.030,277.379
n,0.070,0.375,277.875
a,0.112,0.443,277.942
k,0.075,0.040,278.094
a,0.041,0.080,278.250
g,0.150,0.459,278.750
a,0.136,0.536,278.827
i,0.121,0.063,278.963
n,0.078,0.838,279.922
a,0.148,0.040,280.039
g,0.150,0.428,280.616
a,0.121,0.509,280.697
i,0.099,0.098,280.916
j,0.066,1.764,282.779
i,0.060,0.097,282.941
k,0.066,0.081,283.083
i,0.064,0.089,283.238
space,0.072,1.983,285.286
u,0.081,13.649,299.006
k,0.083,0.628,299.715
e,0.140,0.704,299.791
r,0.122,0.545,300.476
u,0.080,0.625,300.556
t,0.110,1.832,302.468
u,0.099,1.930,302.565
r,0.131,0.286,302.950
a,0.135,0.367,303.031
i,0.096,0.020,303.186
o,0.075,1.192,304.474
m,0.112,0.078,304.626
o,0.101,0.154,304.703
i,0.079,0.098,304.902
s,0.139,1.290,306.272
i,0.067,1.392,306.373
k,0.075,0.074,306.514
i,0.067,0.075,306.664
u,0.081,1.355,308.086
e,0.118,0.221,308.388
r,0.104,0.078,308.585
u,0.069,0.029,308.718
i,0.100,1.045,309.831
d,0.089,0.361,310.292
o,0.087,0.436,310.367
u,0.078,0.150,310.604
y,0.109,2.190,312.872
o,0.091,2.275,312.957
t,0.054,0.187,313.235
t,0.100,0.059,313.348
u,0.101,0.066,313.514
u,0.084,2.394,316.010
w,0.165,0.040,316.133
a,0.138,0.133,316.227
s,0.165,0.119,316.483
a,0.171,0.200,316.564
s,0.127,0.952,317.688
u,0.079,0.029,317.844
r,0.090,0.086,318.009
o,0.093,0.167,318.090
k,0.110,2.110,320.293
u,0.081,0.112,320.516
r,0.122,0.168,320.765
o,0.100,0.267,320.864
m,0.075,3.092,324.057
e,0.116,3.162,324.126
s,0.072,0.150,324.392
u,0.046,0.061,324.525
i,0.082,1.110,325.681
k,0.105,0.108,325.871
o,0.076,0.030,326.005
u,0.076,0.085,326.166
o,0.083,1.456,327.698
i,0.109,1.018,328.799
s,0.064,0.199,329.107
i,0.099,2.466,331.638
p,0.093,0.185,331.922
p,0.099,0.067,332.081
