キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
ctrl,0.492,0.000,3.224
end,0.108,0.209,3.449
a,0.047,37.759,41.487
a,0.052,0.121,41.656
a,0.058,0.076,41.783
a,0.090,1.144,42.985
a,0.057,0.082,43.157
s,0.077,0.093,43.307
s,0.091,0.074,43.459
s,0.062,0.162,43.712
s,0.084,0.090,43.863
s,0.040,0.093,44.041
x,0.040,0.171,44.252
x,0.029,0.076,44.368
z,0.059,4.723,49.120
z,0.059,0.083,49.263
z,0.072,0.041,49.363
z,0.049,7.460,56.895
z,0.058,0.095,57.039
z,0.041,0.101,57.198
z,0.050,0.069,57.308
z,0.058,0.066,57.424
z,0.028,0.032,57.514
z,0.060,1.958,59.501
e,0.108,117.530,177.091
i,0.081,0.081,177.280
g,0.150,0.139,177.501
o,0.090,0.107,177.757
t,0.072,0.377,178.224
o,0.060,0.044,178.340
r,0.079,0.012,178.411
i,0.088,0.013,178.503
o,0.060,0.619,179.210
y,0.042,0.045,179.315
a,0.121,0.088,179.445
t,0.090,0.085,179.651
u,0.066,0.104,179.845
j,0.116,1.071,180.982
i,0.120,1.131,181.042
s,0.234,0.081,181.243
a,0.152,0.148,181.309
t,0.052,0.698,182.175
y,0.064,0.033,182.260
o,0.103,0.097,182.324
u,0.082,0.077,182.401
k,0.073,0.844,183.326
a,0.131,0.333,183.732
t,0.117,0.095,183.958
a,0.110,0.019,184.094
n,0.062,0.346,184.549
a,0.101,0.020,184.632
k,0.067,0.116,184.728
a,0.101,0.045,184.840
r,0.072,0.634,185.574
i,0.084,0.020,185.666
s,0.095,0.032,185.782
u,0.072,0.021,185.897
y,0.060,0.530,186.500
a,0.067,0.017,186.577
n,0.060,0.016,186.660
e,0.091,0.037,186.757
w,0.145,1.693,188.540
a,0.127,1.768,188.616
r,0.107,0.273,189.016
a,0.106,0.343,189.085
u,0.079,0.110,189.302
e,0.067,0.618,189.999
m,0.133,0.051,190.117
i,0.092,0.150,190.216
k,0.065,1.012,191.320
a,0.078,1.075,191.383
z,0.211,0.214,191.675
e,0.110,0.128,192.014
y,0.107,0.420,192.544
u,0.107,0.484,192.608
m,0.197,0.052,192.767
e,0.074,0.111,193.075
a,0.090,0.619,193.768
p,0.046,0.088,193.945
p,0.067,0.052,194.043
u,0.054,0.055,194.165
s,0.066,0.472,194.691
o,0.079,0.055,194.812
d,0.132,0.138,195.029
e,0.162,0.203,195.094
u,0.055,0.472,195.728
d,0.072,0.310,196.093
o,0.075,0.017,196.182
n,0.075,0.032,196.290
n,0.056,0.081,196.446
s,0.052,0.666,197.167
o,0.052,0.027,197.245
r,0.073,0.029,197.326
u,0.065,0.016,197.415
t,0.102,1.365,198.845
a,0.109,1.436,198.915
