キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
ctrl,0.541,0.000,4.349
end,0.074,0.321,4.695
S,0.068,744.881,749.781
S,0.122,0.093,749.941
A,0.223,1.108,751.172
S,0.212,1.108,751.172
D,0.226,1.276,751.339
D,0.204,0.106,751.672
D,0.127,0.119,751.994
S,0.113,0.116,752.237
F,0.157,0.031,752.381
S,0.145,0.165,752.515
F,0.140,0.013,752.673
D,0.130,0.044,752.858
A,0.095,8.134,761.121
S,0.091,8.145,761.132
A,0.054,0.090,761.314
S,0.063,0.091,761.315
E,0.052,0.465,761.843
E,0.049,0.156,762.050
S,0.162,12.814,774.913
A,0.148,0.732,775.807
S,0.192,0.654,776.609
W,0.101,5.542,782.342
S,0.072,5.565,782.365
W,0.099,0.095,782.539
S,0.061,0.116,782.559
W,0.077,0.083,782.720
S,0.084,0.089,782.727
Q,0.168,0.000,144.924
A,0.079,1.439,146.531
A,0.084,0.157,146.766
A,0.135,0.098,146.948
A,0.127,0.102,147.186
D,0.151,0.145,147.457
A,0.167,0.119,147.727
D,0.167,0.068,147.962
A,0.092,0.069,148.199
D,0.128,0.000,30.336
A,0.325,0.000,30.458
M,0.075,0.170,30.635
E,0.146,0.158,30.941
Y,0.092,1.734,32.821
U,0.047,0.082,32.995
J,0.093,0.145,33.186
M,0.056,0.114,33.393
E,0.141,0.034,33.483
J,0.094,1.433,35.058
I,0.074,0.024,35.176
K,0.106,0.058,35.308
I,0.098,0.030,35.443
Y,0.111,2.427,37.969
U,0.058,2.525,38.067
K,0.096,0.072,38.198
A,0.114,0.034,38.327
B,0.065,1.676,40.118
E,0.117,0.209,40.392
R,0.096,0.121,40.630
U,0.084,0.205,40.714
K,0.076,1.656,42.454
A,0.089,0.049,42.580
I,0.058,0.159,42.828
K,0.068,1.140,44.025
A,0.094,0.044,44.136
M,0.100,0.132,44.225
I,0.106,0.044,44.369
Y,0.099,1.121,45.596
O,0.064,0.038,45.733
M,0.127,0.073,45.870
U,0.119,0.080,46.076
Y,0.075,2.123,48.318
K,0.104,0.148,48.541
U,0.082,0.048,48.693
\,0.119,0.927,49.702
space,0.145,0.904,50.725
right,0.234,6.757,57.627
N,0.087,4.104,61.964
A,0.107,0.040,62.091
R,0.095,0.231,62.430
A,0.094,0.079,62.604
U,0.075,0.078,62.775
Y,0.082,1.926,64.776
O,0.087,0.022,64.880
K,0.095,0.033,65.000
U,0.087,0.063,65.158
U,0.098,1.618,66.863
S,0.083,0.865,67.826
U,0.076,0.066,67.974
I,0.083,0.091,68.142
H,0.067,1.306,69.530
I,0.073,0.028,69.625
M,0.102,0.100,69.799
O,0.078,0.032,69.933
T,0.097,1.423,71.434
A,0.113,0.056,71.587
F,0.040,0.421,72.121
D,0.109,0.406,72.567
A,0.100,0.057,72.733
T,0.075,1.291,74.124
A,0.096,0.080,74.280
F,0.070,0.125,74.501
backspace,0.088,0.543,75.114
T,0.077,0.576,75.778
A,0.096,0.074,75.928
D,0.107,0.092,76.117
A,0.105,0.035,76.258
T,0.069,1.194,77.557
backspace,0.095,0.228,77.854
Y,0.079,0.075,78.025
A,0.101,0.038,78.141
R,0.113,0.354,78.596
U,0.095,0.012,78.721
T,0.063,0.984,79.800
backspace,0.087,0.269,80.133
Y,0.066,0.084,80.304
O,0.095,0.071,80.441
M,0.108,0.081,80.617
I,0.100,0.024,80.749
D,0.081,1.398,82.247
O,0.080,0.067,82.395
T,0.100,0.100,82.575
R,0.109,0.092,82.768
D,0.072,2.482,85.359
O,0.106,0.055,85.487
E,0.063,0.159,85.591
R,0.063,0.117,85.771
R,0.105,0.186,86.020
E,0.116,0.077,86.202
K,0.117,1.191,87.509
O,0.086,0.026,87.651
Y,0.094,0.071,87.807
O,0.099,0.041,87.942
T,0.094,1.170,89.211
U,0.086,0.061,89.365
Y,0.064,0.026,89.477
U,0.075,0.041,89.582
K,0.083,1.018,90.675
A,0.084,0.049,90.807
M,0.082,0.021,90.912
I,0.090,0.032,91.026
O,0.063,0.961,92.078
O,0.067,0.068,92.208
K,0.070,0.072,92.347
K,0.042,0.195,92.612
I,0.075,0.105,92.758
H,0.074,1.311,94.144
G,0.032,1.320,94.154
U,0.088,0.051,94.269
T,0.078,0.173,94.530
H,0.072,1.295,95.903
I,0.091,0.066,96.041
S,0.087,0.310,96.442
D,0.054,0.311,96.443
O,0.109,0.053,96.582
U,0.080,0.035,96.727
H,0.067,1.392,98.198
O,0.096,0.076,98.341
I,0.074,0.039,98.476
S,0.081,0.298,98.848
E,0.084,2.130,101.059
N,0.149,0.315,101.458
U,0.099,0.439,101.583
M,0.088,0.309,101.991
E,0.104,2.175,104.254
right,0.107,27.751,132.109
