キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
a,0.134,0.000,1.655
a,0.134,2.477,4.265
k,0.091,4.261,8.660
a,0.104,4.335,8.734
r,0.134,0.107,8.945
t,0.136,0.107,8.945
a,0.122,0.180,9.019
k,0.092,0.448,9.589
a,0.137,0.059,9.739
t,0.132,0.046,9.922
a,0.104,0.133,10.009
o,0.089,0.646,10.759
k,0.150,0.016,10.865
o,0.124,0.060,10.908
r,0.123,0.057,11.089
u,0.151,0.132,11.164
n,0.124,0.675,11.990
e,0.085,0.800,12.115
t,0.105,0.075,12.275
u,0.104,0.149,12.349
n,0.075,0.556,13.009
s,0.150,0.213,13.297
a,0.107,0.269,13.354
j,0.084,0.004,13.465
e,0.115,0.035,13.584
s,0.136,0.557,14.256
a,0.118,0.620,14.319
k,0.100,0.003,14.439
e,0.128,0.103,14.539
u,0.120,0.787,15.454
g,0.154,0.135,15.709
a,0.107,0.226,15.801
i,0.083,0.004,15.911
s,0.121,0.511,16.505
i,0.080,0.039,16.665
r,0.121,0.047,16.792
u,0.108,0.118,16.864
e,0.116,0.843,17.814
r,0.102,0.843,17.814
i,0.132,0.944,17.916
g,0.135,0.106,18.154
a,0.103,0.183,18.231
e,0.092,0.750,19.084
i,0.104,0.826,19.160
g,0.148,0.137,19.401
a,0.106,0.195,19.459
space,0.104,0.044,19.609
t,0.106,2.117,21.830
i,0.068,0.051,21.987
i,0.104,0.016,22.070
k,0.076,0.044,22.219
i,0.117,0.017,22.312
t,0.062,1.756,24.185
o,0.110,0.055,24.302
r,0.075,0.178,24.591
o,0.089,0.253,24.665
k,0.096,0.046,24.800
u,0.105,0.053,24.949
m,0.109,0.601,25.655
a,0.103,0.692,25.747
r,0.089,0.063,25.913
u,0.124,0.076,25.925
e,0.119,0.852,26.901
k,0.090,0.046,27.067
i,0.107,0.136,27.156
m,0.106,0.016,27.172
o,0.060,0.017,27.173
e,0.075,0.312,27.590
m,0.150,0.032,27.697
i,0.145,0.090,27.755
w,0.133,0.501,28.401
a,0.117,0.049,28.583
r,0.109,0.104,28.805
e,0.059,0.120,28.821
i,0.085,0.035,28.914
w,0.179,0.496,29.496
a,0.150,0.648,29.647
r,0.121,0.072,29.870
i,0.089,0.178,29.975
h,0.120,0.916,30.980
a,0.135,0.950,31.015
r,0.120,0.071,31.220
u,0.110,0.148,31.297
t,0.135,0.833,32.240
a,0.102,0.941,32.347
b,0.088,0.063,32.513
i,0.090,0.136,32.585
k,0.136,1.187,33.862
o,0.131,1.247,33.922
u,0.097,0.013,34.066
e,0.079,0.055,34.218
n,0.072,0.015,34.312
n,0.076,0.045,34.429
g,0.135,0.825,35.330
o,0.091,0.885,35.390
m,0.089,0.210,35.691
e,0.119,0.346,36.126
n,0.080,0.422,36.201
n,0.094,0.024,36.305
d,0.104,0.688,37.087
o,0.104,0.748,37.147
r,0.122,0.045,37.295
e,0.105,0.121,37.371
s,0.136,0.779,38.256
a,0.133,0.840,38.316
k,0.074,0.019,38.468
u,0.134,0.045,38.586
r,0.118,0.528,39.248
t,0.132,0.528,39.248
a,0.105,0.615,39.335
m,0.125,0.015,39.455
e,0.091,0.401,39.981
space,0.090,0.419,40.490
o,0.103,13.803,54.383
y,0.139,0.194,54.680
a,0.135,0.026,54.846
t,0.117,0.049,55.029
u,0.093,0.016,55.162
n,0.105,2.127,57.382
b,0.057,2.159,57.414
e,0.148,2.187,57.442
g,0.092,0.166,57.756
i,0.121,0.240,57.831
n,0.122,0.602,58.553
e,0.116,0.724,58.675
g,0.073,0.167,58.958
i,0.082,0.022,59.053
