キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
ctrl,0.794,0.000,13.711
end,0.075,0.476,14.194
r,0.080,57.485,72.019
o,0.065,0.044,72.143
k,0.121,0.176,72.384
u,0.091,0.251,72.459
z,0.092,1.161,73.711
e,0.097,0.101,73.904
r,0.043,0.115,74.117
o,0.070,0.056,74.215
f,0.066,1.398,75.683
u,0.060,0.095,75.845
t,0.065,0.130,76.034
a,0.069,0.031,76.131
w,0.064,1.019,77.219
a,0.142,1.051,77.251
r,0.055,0.171,77.564
u,0.066,0.065,77.684
d,0.120,1.017,78.767
a,0.066,0.046,78.933
s,0.068,0.191,79.190
u,0.061,0.063,79.321
t,0.017,0.979,80.361
a,0.079,0.020,80.398
u,0.062,0.354,80.832
t,0.063,1.434,82.328
a,0.076,0.009,82.399
t,0.151,0.013,82.488
u,0.105,0.143,82.619
y,0.120,2.442,85.166
u,0.115,2.514,85.237
k,0.072,0.413,85.766
a,0.093,0.017,85.855
space,0.062,0.771,86.720
p,0.070,27.517,114.298
e,0.070,0.050,114.418
t,0.054,0.168,114.656
t,0.073,0.060,114.770
o,0.080,0.075,114.918
n,0.101,2.074,117.073
i,0.098,2.143,117.141
j,0.126,0.048,117.288
i,0.122,0.137,117.377
i,0.073,1.133,118.631
k,0.078,0.635,119.339
a,0.087,0.017,119.435
r,0.105,0.061,119.582
i,0.085,0.071,119.758
a,0.080,0.717,120.560
r,0.086,0.281,120.921
i,0.101,0.209,121.215
r,0.070,0.183,121.499
a,0.119,0.020,121.589
i,0.096,0.050,121.757
n,0.070,0.763,122.616
a,0.054,0.032,122.719
k,0.086,0.015,122.788
a,0.070,0.023,122.897
k,0.173,0.617,123.585
u,0.105,0.728,123.696
b,0.120,0.498,124.299
i,0.134,0.597,124.398
i,0.067,0.549,125.081
k,0.074,0.142,125.290
e,0.083,0.500,125.865
n,0.067,0.183,126.131
n,0.067,0.078,126.276
h,0.116,1.176,127.519
a,0.072,0.051,127.687
j,0.068,0.572,128.331
a,0.069,0.030,128.429
a,0.061,0.217,128.715
h,0.079,0.910,129.685
a,0.084,0.120,129.885
j,0.100,0.578,130.547
a,0.080,0.054,130.701
m,0.081,0.039,130.820
a,0.076,0.020,130.922
s,0.062,1.933,132.931
i,0.065,0.039,133.032
a,0.090,0.015,133.112
i,0.065,0.053,133.255
i,0.067,1.729,135.050
s,0.068,0.062,135.179
u,0.047,0.038,135.285
r,0.108,0.465,135.797
i,0.078,0.026,135.931
s,0.108,0.030,136.040
u,0.104,0.221,136.368
g,0.076,1.487,137.960
y,0.185,0.031,138.067
u,0.151,0.112,138.147
y,0.106,1.159,139.457
o,0.178,0.023,139.587
u,0.120,0.135,139.698
space,0.088,1.145,140.964
u,0.067,12.416,153.468
n,0.138,12.445,153.497
