key_info,duration,delay,elapsed_time,推定感情
ctrl,0.794,0.0,13.711,設定状況の魅力
end,0.075,0.476,14.194,設定状況の魅力
r,0.08,57.485,72.019,設定状況の魅力
o,0.065,0.044,72.143,設定状況の魅力
k,0.121,0.176,72.384,設定状況の魅力
u,0.091,0.251,72.459,設定状況の魅力
z,0.092,1.161,73.711,設定状況の魅力
e,0.097,0.101,73.904,設定状況の魅力
r,0.043,0.115,74.117,設定状況の魅力
o,0.07,0.056,74.215,設定状況の魅力
f,0.066,1.398,75.683,設定状況の魅力
u,0.06,0.095,75.845,設定状況の魅力
t,0.065,0.13,76.034,設定状況の魅力
a,0.069,0.031,76.131,設定状況の魅力
w,0.064,1.019,77.219,設定状況の魅力
a,0.142,1.051,77.251,設定状況の魅力
r,0.055,0.171,77.564,設定状況の魅力
u,0.066,0.065,77.684,設定状況の魅力
d,0.12,1.017,78.767,設定状況の魅力
a,0.066,0.046,78.933,設定状況の魅力
s,0.068,0.191,79.19,設定状況の魅力
u,0.061,0.063,79.321,設定状況の魅力
t,0.017,0.979,80.361,設定状況の魅力
a,0.079,0.02,80.398,設定状況の魅力
u,0.062,0.354,80.832,設定状況の魅力
t,0.063,1.434,82.328,設定状況の魅力
a,0.076,0.009,82.399,設定状況の魅力
t,0.151,0.013,82.488,設定状況の魅力
u,0.105,0.143,82.619,設定状況の魅力
y,0.12,2.442,85.166,設定状況の魅力
u,0.115,2.514,85.237,設定状況の魅力
k,0.072,0.413,85.766,設定状況の魅力
a,0.093,0.017,85.855,設定状況の魅力
space,0.062,0.771,86.72,設定状況の魅力
p,0.07,27.517,114.298,設定状況の魅力
e,0.07,0.05,114.418,設定状況の魅力
t,0.054,0.168,114.656,設定状況の魅力
t,0.073,0.06,114.77,設定状況の魅力
o,0.08,0.075,114.918,設定状況の魅力
n,0.101,2.074,117.073,設定状況の魅力
i,0.098,2.143,117.141,設定状況の魅力
j,0.126,0.048,117.288,設定状況の魅力
i,0.122,0.137,117.377,設定状況の魅力
i,0.073,1.133,118.631,設定状況の魅力
k,0.078,0.635,119.339,設定状況の魅力
a,0.087,0.017,119.435,設定状況の魅力
r,0.105,0.061,119.582,設定状況の魅力
i,0.085,0.071,119.758,設定状況の魅力
a,0.08,0.717,120.56,設定状況の魅力
r,0.086,0.281,120.921,設定状況の魅力
i,0.101,0.209,121.215,設定状況の魅力
r,0.07,0.183,121.499,設定状況の魅力
a,0.119,0.02,121.589,設定状況の魅力
i,0.096,0.05,121.757,設定状況の魅力
n,0.07,0.763,122.616,設定状況の魅力
a,0.054,0.032,122.719,設定状況の魅力
k,0.086,0.015,122.788,設定状況の魅力
a,0.07,0.023,122.897,設定状況の魅力
k,0.173,0.617,123.585,設定状況の魅力
u,0.105,0.728,123.696,設定状況の魅力
b,0.12,0.498,124.299,設定状況の魅力
i,0.134,0.597,124.398,設定状況の魅力
i,0.067,0.549,125.081,設定状況の魅力
k,0.074,0.142,125.29,設定状況の魅力
e,0.083,0.5,125.865,設定状況の魅力
n,0.067,0.183,126.131,設定状況の魅力
n,0.067,0.078,126.276,設定状況の魅力
h,0.116,1.176,127.519,設定状況の魅力
a,0.072,0.051,127.687,設定状況の魅力
j,0.068,0.572,128.331,設定状況の魅力
a,0.069,0.03,128.429,設定状況の魅力
a,0.061,0.217,128.715,設定状況の魅力
h,0.079,0.91,129.685,設定状況の魅力
a,0.084,0.12,129.885,設定状況の魅力
j,0.1,0.578,130.547,設定状況の魅力
a,0.08,0.054,130.701,設定状況の魅力
m,0.081,0.039,130.82,設定状況の魅力
a,0.076,0.02,130.922,設定状況の魅力
s,0.062,1.933,132.931,設定状況の魅力
i,0.065,0.039,133.032,設定状況の魅力
a,0.09,0.015,133.112,設定状況の魅力
i,0.065,0.053,133.255,設定状況の魅力
i,0.067,1.729,135.05,設定状況の魅力
s,0.068,0.062,135.179,設定状況の魅力
u,0.047,0.038,135.285,設定状況の魅力
r,0.108,0.465,135.797,設定状況の魅力
i,0.078,0.026,135.931,設定状況の魅力
s,0.108,0.03,136.04,設定状況の魅力
u,0.104,0.221,136.368,設定状況の魅力
g,0.076,1.487,137.96,設定状況の魅力
y,0.185,0.031,138.067,設定状況の魅力
u,0.151,0.112,138.147,設定状況の魅力
y,0.106,1.159,139.457,設定状況の魅力
o,0.178,0.023,139.587,設定状況の魅力
u,0.12,0.135,139.698,設定状況の魅力
space,0.088,1.145,140.964,設定状況の魅力
u,0.067,12.416,153.468,設定状況の魅力
n,0.138,12.445,153.497,設定状況の魅力
t,0.067,0.195,153.83,設定状況の魅力
u,0.075,0.064,153.961,設定状況の魅力
n,0.101,1.095,155.131,設定状況の魅力
e,0.133,0.237,155.469,設定状況の魅力
n,0.097,0.015,155.616,設定状況の魅力
u,0.079,1.028,156.742,設定状況の魅力
n,0.102,0.999,157.82,設定状況の魅力
t,0.065,0.048,157.97,設定状況の魅力
e,0.079,0.103,158.138,設定状況の魅力
n,0.06,0.037,158.255,設定状況の魅力
n,0.079,0.081,158.396,設定状況の魅力
g,0.041,2.005,160.48,設定状況の魅力
i,0.047,0.078,160.6,設定状況の魅力
r,0.063,0.032,160.678,設定状況の魅力
i,0.092,0.046,160.787,設定状況の魅力
g,0.075,1.918,162.797,設定状況の魅力
y,0.126,0.033,162.905,設定状況の魅力
o,0.195,0.203,163.234,設定状況の魅力
u,0.144,0.305,163.336,設定状況の魅力
d,0.081,1.205,164.685,設定状況の魅力
a,0.09,0.031,164.798,設定状況の魅力
r,0.072,0.092,164.98,設定状況の魅力
e,0.079,0.034,165.087,設定状況の魅力
m,0.069,1.051,166.216,設定状況の魅力
a,0.082,0.044,166.33,設定状況の魅力
k,0.086,0.034,166.446,設定状況の魅力
u,0.116,1.365,167.897,設定状況の魅力
s,0.091,1.171,169.184,設定状況の魅力
u,0.078,0.031,169.306,設定状況の魅力
k,0.163,0.038,169.422,設定状況の魅力
