key_info,duration,delay,elapsed_time,推定感情
ctrl,0.288,0.0,4.115,設定状況の魅力
end,0.088,0.089,4.247,設定状況の魅力
u,0.131,117.787,122.19,設定状況の魅力
u,0.15,2.034,124.354,設定状況の魅力
u,0.114,0.085,124.589,設定状況の魅力
u,0.15,0.073,124.776,設定状況の魅力
u,0.145,2.978,127.904,設定状況の魅力
r,0.116,0.775,128.824,設定状況の魅力
i,0.087,0.015,128.955,設定状況の魅力
b,0.083,0.496,129.538,設定状況の魅力
a,0.1,0.033,129.653,設定状況の魅力
s,0.136,2.168,131.922,設定状況の魅力
i,0.121,0.032,132.09,設定状況の魅力
n,0.089,0.154,132.365,設定状況の魅力
u,0.092,0.209,132.664,設定状況の魅力
y,0.107,1.519,134.275,設定状況の魅力
o,0.078,0.09,134.472,設定状況の魅力
k,0.106,0.082,134.632,設定状況の魅力
u,0.078,0.149,134.886,設定状況の魅力
n,0.078,1.262,136.226,設定状況の魅力
a,0.079,1.339,136.304,設定状況の魅力
n,0.07,0.041,136.423,設定状況の魅力
a,0.098,0.017,136.51,設定状況の魅力
b,0.082,2.064,138.672,設定状況の魅力
a,0.104,0.04,138.794,設定状況の魅力
g,0.065,0.275,139.173,設定状況の魅力
g,0.074,0.067,139.304,設定状況の魅力
u,0.058,0.12,139.499,設定状況の魅力
s,0.131,1.181,140.739,設定状況の魅力
i,0.095,0.03,140.899,設定状況の魅力
a,0.307,0.159,141.153,設定状況の魅力
i,0.136,0.133,141.593,設定状況の魅力
s,0.153,0.974,142.703,設定状況の魅力
i,0.132,0.237,143.093,設定状況の魅力
a,0.161,0.099,143.324,設定状況の魅力
i,0.122,0.07,143.555,設定状況の魅力
y,0.08,1.195,144.872,設定状況の魅力
a,0.126,0.025,144.977,設定状況の魅力
m,0.064,0.045,145.148,設定状況の魅力
u,0.068,0.214,145.426,設定状況の魅力
n,0.074,4.184,149.678,設定状況の魅力
a,0.092,0.034,149.786,設定状況の魅力
i,0.093,0.098,149.976,設定状況の魅力
b,0.116,0.226,150.295,設定状況の魅力
u,0.088,0.009,150.42,設定状況の魅力
s,0.156,0.938,151.446,設定状況の魅力
a,0.137,1.031,151.539,設定状況の魅力
k,0.087,1.467,153.143,設定状況の魅力
a,0.108,0.007,153.236,設定状況の魅力
s,0.165,0.104,153.449,設定状況の魅力
a,0.148,0.197,153.542,設定状況の魅力
s,0.173,0.796,154.486,設定状況の魅力
a,0.142,0.906,154.596,設定状況の魅力
y,0.088,0.202,154.94,設定状況の魅力
a,0.123,0.041,155.07,設定状況の魅力
t,0.067,0.76,155.953,設定状況の魅力
a,0.183,0.02,156.04,設定状況の魅力
o,0.082,1.255,157.478,設定状況の魅力
m,0.161,0.315,157.875,設定状況の魅力
o,0.118,0.425,157.985,設定状況の魅力
i,0.096,0.112,158.215,設定状況の魅力
t,0.115,0.999,159.309,設定状況の魅力
u,0.067,1.071,159.382,設定状況の魅力
m,0.064,0.109,159.557,設定状況の魅力
i,0.068,0.104,159.725,設定状況の魅力
p,0.064,1.488,161.281,設定状況の魅力
e,0.126,0.018,161.363,設定状況の魅力
-,0.079,0.741,162.229,設定状況の魅力
s,0.104,0.295,162.603,設定状況の魅力
u,0.084,0.379,162.687,設定状況の魅力
k,0.072,1.132,163.903,設定状況の魅力
u,0.07,0.124,164.099,設定状況の魅力
b,0.105,0.283,164.452,設定状況の魅力
i,0.093,0.38,164.549,設定状況の魅力
e,0.15,0.694,165.335,設定状況の魅力
n,0.067,0.116,165.601,設定状況の魅力
j,0.067,0.114,165.782,設定状況の魅力
o,0.075,0.124,165.972,設定状況の魅力
