キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
ctrl,0.671,0.000,4.198
end,0.113,0.296,4.566
esc,0.119,27.790,32.659
l,0.115,41.406,74.184
u,0.100,0.267,74.566
r,0.066,0.111,74.777
o,0.106,0.023,74.866
k,0.089,1.005,75.977
u,0.093,0.096,76.162
r,0.069,0.136,76.391
o,0.102,0.023,76.483
i,0.076,1.026,77.611
r,0.084,0.098,77.785
r,0.084,0.376,78.245
i,0.074,0.020,78.349
k,0.086,0.346,78.768
a,0.033,0.028,78.882
a,0.059,0.800,79.716
r,0.127,0.209,79.984
a,0.075,0.310,80.084
u,0.113,0.139,80.299
t,0.130,0.714,81.126
a,0.071,0.833,81.245
m,0.086,0.004,81.320
e,0.086,0.067,81.473
d,0.137,0.556,82.115
o,0.110,0.648,82.208
r,0.144,0.061,82.379
e,0.099,0.148,82.465
u,0.142,0.959,83.523
f,0.109,0.136,83.802
o,0.083,0.243,83.908
i,0.043,0.010,83.921
n,0.072,0.097,84.088
n,0.046,0.084,84.245
u,0.098,0.703,84.993
d,0.102,0.119,85.210
o,0.076,0.165,85.256
n,0.041,0.092,85.424
n,0.052,0.083,85.549
n,0.081,0.070,85.671
k,0.113,0.491,86.242
a,0.053,0.593,86.345
w,0.105,0.117,86.515
a,0.095,0.023,86.642
space,0.118,0.503,87.241
i,0.074,2.474,89.832
k,0.155,0.172,90.079
u,0.099,0.172,90.406
t,0.092,0.130,90.635
u,0.083,0.033,90.759
j,0.076,2.415,93.258
a,0.073,0.032,93.365
m,0.154,0.040,93.478
u,0.093,0.134,93.767
y,0.095,0.961,94.820
u,0.076,0.008,94.923
k,0.075,0.107,95.107
i,0.099,0.067,95.249
p,0.122,0.245,95.593
u,0.085,0.080,95.795
i,0.062,0.095,95.810
t,0.063,0.054,95.933
r,0.046,0.063,95.943
o,0.073,0.041,96.038
p,0.102,0.546,96.656
u,0.083,0.107,96.866
o,0.089,0.158,97.106
r,0.061,0.026,97.221
p,0.108,0.338,97.620
u,0.087,0.129,97.857
r,0.068,0.071,98.015
o,0.081,0.009,98.092
k,0.100,0.792,98.966
a,0.074,0.884,99.057
j,0.189,0.102,99.234
k,0.164,0.107,99.239
i,0.121,0.195,99.327
k,0.084,0.617,100.065
a,0.056,0.010,100.160
j,0.154,0.042,100.258
i,0.092,0.126,100.342
m,0.082,0.104,100.538
a,0.099,0.064,100.684
d,0.174,0.866,101.649
a,0.096,0.965,101.747
n,0.116,0.935,102.778
e,0.104,1.051,102.894
t,0.104,0.124,103.122
u,0.105,0.014,103.240
t,0.084,1.328,104.673
o,0.072,1.395,104.740
k,0.116,0.042,104.799
i,0.122,0.055,104.971
e,0.130,0.764,105.856
i,0.103,0.013,105.998
g,0.150,0.047,106.148
a,0.117,0.114,106.215
y,0.084,0.776,107.108
a,0.056,0.234,107.426
n,0.082,0.176,107.658
e,0.081,0.063,107.803
k,0.125,0.391,108.274
a,0.087,0.503,108.387
m,0.090,0.477,108.951
a,0.065,0.031,109.071
k,0.078,0.046,109.182
u,0.104,0.093,109.353
d,0.165,1.010,110.467
a,0.121,1.083,110.539
m,0.105,0.032,110.692
e,0.098,0.044,110.841
n,0.103,0.859,111.798
o,0.122,0.063,111.965
n,0.097,0.353,112.440
e,0.087,0.031,112.568
k,0.201,0.076,112.731
o,0.123,0.185,112.840
space,0.102,0.220,113.182
m,0.154,2.682,115.966
o,0.121,0.321,116.441
u,0.101,0.732,117.293
h,0.185,0.180,117.574
u,0.152,0.243,117.638
y,0.115,2.517,120.307
t,0.081,2.520,120.310
a,0.082,0.043,120.466
m,0.105,0.029,120.576
y,0.120,0.290,120.971
a,0.149,0.032,121.123
m,0.090,0.030,121.303
u,0.091,0.107,121.499
i,0.102,0.809,122.399
z,0.115,0.122,122.623
e,0.092,0.044,122.782
n,0.050,0.033,122.907
n,0.079,0.070,123.027
n,0.083,0.534,123.640
a,0.086,0.033,123.756
n,0.028,0.030,123.872
a,0.081,0.026,123.926
s,0.100,0.825,124.832
u,0.061,0.031,124.963
k,0.084,0.091,125.115
u,0.095,0.091,125.290
t,0.076,1.688,127.072
u,0.083,0.267,127.415
o,0.090,0.044,127.542
u,0.101,0.025,127.657
r,0.081,0.530,128.287
y,0.093,0.119,128.487
o,0.076,0.210,128.578
u,0.083,0.027,128.681
d,0.061,0.874,129.638
s,0.058,0.283,129.982
u,0.116,0.042,130.082
i,0.080,0.046,130.085
r,0.098,0.029,130.227
s,0.072,0.343,130.668
u,0.098,0.292,131.032
e,0.098,0.107,131.237
r,0.061,0.112,131.242
i,0.041,0.035,131.370
s,0.092,0.824,132.235
u,0.099,0.272,132.599
r,0.064,0.089,132.788
o,0.084,0.030,132.882
s,0.093,0.840,133.806
u,0.108,0.217,134.115
r,0.071,0.125,134.348
i,0.122,0.039,134.459
o,0.061,0.045,134.465
t,0.115,0.626,135.207
a,0.084,0.706,135.287
k,0.094,0.031,135.353
u,0.110,0.067,135.515
k,0.111,0.434,136.059
a,0.041,0.030,136.200
h,0.079,0.324,136.565
i,0.096,0.042,136.686
k,0.102,0.399,137.182
a,0.084,0.034,137.317
g,0.090,0.081,137.482
i,0.090,0.168,137.569
j,0.083,0.864,138.523
i,0.101,0.126,138.732
s,0.103,0.033,138.866
a,0.078,0.120,138.953
n,0.069,1.418,140.448
a,0.075,1.472,140.503
n,0.053,0.036,140.614
a,0.055,0.075,140.653
n,0.090,0.723,141.431
o,0.096,0.077,141.598
r,0.079,0.057,141.752
i,0.069,0.031,141.862
i,0.069,1.025,142.956
g,0.130,0.185,143.211
a,0.095,0.251,143.276
i,0.082,0.036,143.407
r,0.084,0.830,144.319
o,0.076,0.910,144.398
k,0.088,0.057,144.532
k,0.058,0.045,144.665
u,0.099,0.081,144.804
t,0.095,0.361,145.264
o,0.087,0.436,145.339
k,0.073,0.072,145.498
i,0.101,0.071,145.643
b,0.101,0.917,146.662
v,0.058,0.929,146.673
i,0.089,0.175,146.937
b,0.096,0.443,147.469
i,0.097,0.033,147.598
z,0.075,0.078,147.772
a,0.049,0.136,147.983
t,0.119,0.651,148.683
a,0.091,0.088,148.891
b,0.110,0.200,149.182
i,0.084,0.060,149.352
n,0.100,0.554,149.990
r,0.082,0.046,150.135
e,0.104,0.054,150.144
k,0.122,0.051,150.300
j,0.081,0.070,150.318
n,0.082,0.386,150.808
e,0.074,0.085,150.975
k,0.125,0.034,151.082
o,0.123,0.077,151.125
h,0.174,1.427,152.675
u,0.136,1.489,152.737
k,0.125,0.809,153.682
u,0.105,0.092,153.899
f,0.078,1.236,155.240
u,0.081,0.101,155.418
y,0.070,0.833,156.332
u,0.083,0.053,156.455
d,0.120,1.181,157.719
f,0.089,1.181,157.719
o,0.090,0.119,157.958
d,0.093,0.384,158.432
o,0.064,0.031,158.556
r,0.077,0.550,159.171
u,0.077,0.024,159.272
d,0.220,0.736,160.085
e,0.196,0.790,160.139
s,0.107,0.063,160.398
r,0.092,0.272,160.776
d,0.197,0.226,161.094
e,0.181,0.272,161.141
r,0.112,0.076,161.398
u,0.090,0.166,161.487
space,0.090,0.298,161.875
a,0.084,7.386,169.350
r,0.083,0.199,169.633
i,0.110,0.040,169.756
a,0.121,0.472,170.338
r,0.128,0.151,170.609
i,0.108,0.027,170.764
a,0.099,0.252,171.124
t,0.099,0.236,171.459
i,0.103,0.068,171.626
r,0.156,0.313,172.041
a,0.119,0.428,172.156
w,0.125,2.774,175.049
a,0.151,2.849,175.124
k,0.090,0.087,175.260
u,0.111,0.078,175.428
n,0.087,0.578,176.118
a,0.079,0.653,176.192
m,0.055,0.049,176.319
a,0.081,0.136,176.510
n,0.078,0.298,176.890
a,0.096,0.090,177.057
k,0.075,0.026,177.179
a,0.069,0.035,177.289
t,0.087,1.736,179.094
u,0.056,0.034,179.215
i,0.079,0.036,179.218
i,0.081,0.074,179.371
k,0.037,0.092,179.389
i,0.079,0.078,179.531
s,0.149,0.549,180.158
a,0.066,0.031,180.338
k,0.069,0.044,180.448
k,0.075,0.052,180.569
i,0.105,0.075,180.719
m,0.099,0.570,181.394
u,0.093,0.202,181.695
r,0.079,0.031,181.819
i,0.071,0.029,181.927
i,0.089,0.878,182.875
b,0.090,0.220,183.184
a,0.109,0.237,183.511
r,0.124,0.111,183.731
e,0.104,0.177,183.798
b,0.110,0.671,184.574
i,0.096,0.465,185.148
b,0.099,0.124,185.368
a,0.078,0.031,185.498
r,0.075,0.087,185.664
u,0.077,0.035,185.774
a,0.105,0.992,186.843
t,0.081,0.199,187.147
u,0.073,0.277,187.225
i,0.096,0.086,187.384
a,0.108,0.662,188.142
i,0.116,0.054,188.304
d,0.165,0.133,188.554
a,0.120,0.204,188.625
o,0.070,8.770,197.515
o,0.052,0.069,197.654
i,0.091,0.075,197.781
t,0.123,0.152,198.024
a,0.076,0.251,198.123
a,0.077,1.973,200.171
r,0.109,0.100,200.348
a,0.105,0.184,200.431
u,0.104,0.066,200.602
e,0.099,0.732,201.438
i,0.079,0.030,201.567
u,0.053,0.030,201.567
g,0.119,0.041,201.687
a,0.074,0.119,201.765
m,0.086,0.889,202.728
a,0.089,0.029,202.842
d,0.141,0.083,203.015
a,0.116,0.150,203.081
i,0.089,0.760,203.958
e,0.109,0.418,204.465
i,0.068,0.031,204.604
g,0.088,0.125,204.798
o,0.098,0.210,204.883
s,0.093,1.068,206.049
i,0.053,0.031,206.173
k,0.081,0.066,206.292
i,0.102,0.061,206.434
t,0.082,0.764,207.299
u,0.058,0.031,207.412
k,0.084,0.088,207.559
u,0.095,0.090,207.733
k,0.099,0.293,208.121
a,0.055,0.040,208.260
z,0.087,0.151,208.465
e,0.087,0.153,208.706
d,0.193,0.848,209.640
a,0.127,0.966,209.758
m,0.089,0.035,209.920
e,0.084,0.072,210.080
n,0.092,0.592,210.756
