キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
ctrl,0.371,0.000,4.400
end,0.099,0.144,4.572
a,0.100,1.772,6.555
a,0.073,0.175,6.830
a,0.042,0.140,7.043
a,0.064,0.089,7.173
a,0.072,2.504,9.742
a,0.066,0.125,9.939
a,0.099,0.484,10.489
a,0.089,0.162,10.750
a,1.268,1.133,11.972
w,0.102,77.073,90.312
a,0.104,77.115,90.355
i,0.064,0.003,90.462
n,0.052,0.128,90.654
n,0.073,0.049,90.755
k,0.085,1.131,91.959
u,0.064,0.069,92.113
m,0.144,0.116,92.293
n,0.021,0.128,92.304
k,0.076,1.108,93.545
u,0.078,0.043,93.665
m,0.083,0.146,93.889
o,0.043,0.391,94.362
b,0.082,1.283,95.689
a,0.053,0.005,95.777
a,0.090,0.026,95.856
i,0.077,0.109,96.055
s,0.130,0.943,97.075
a,0.121,0.534,97.738
s,0.125,0.634,97.839
i,0.107,0.275,98.238
f,0.087,1.783,100.128
u,0.056,0.034,100.250
y,0.067,0.133,100.439
u,0.061,0.072,100.578
o,0.085,0.958,101.597
s,0.095,1.022,101.661
e,0.096,0.053,101.809
j,0.067,0.466,102.371
i,0.081,0.152,102.590
e,0.112,0.990,103.661
i,0.066,0.165,103.939
g,0.074,0.267,104.272
o,0.058,0.142,104.489
y,0.084,0.891,105.438
o,0.084,0.066,105.587
u,0.072,0.094,105.766
i,0.075,0.619,106.458
space,0.079,0.263,106.796
z,0.090,7.041,113.915
i,0.116,3.323,117.328
y,0.097,0.014,117.458
j,0.059,0.201,117.755
z,0.101,0.307,118.122
i,0.097,0.009,118.232
y,0.101,0.110,118.439
z,0.100,0.649,119.188
o,0.087,0.736,119.275
u,0.075,0.084,119.446
k,0.101,0.117,119.639
a,0.081,0.075,119.814
h,0.055,2.443,122.339
backspace,0.098,0.663,123.057
j,0.084,0.066,123.221
i,0.078,0.055,123.360
k,0.150,0.133,123.571
o,0.094,0.265,123.704
h,0.090,0.782,124.579
a,0.132,0.858,124.655
k,0.089,0.267,125.054
u,0.095,0.067,125.210
b,0.130,0.718,126.023
a,0.131,0.835,126.140
s,0.100,0.103,126.256
e,0.067,0.117,126.472
b,0.144,0.837,127.376
a,0.164,0.917,127.456
s,0.092,0.035,127.655
u,0.082,0.058,127.805
s,0.089,0.501,128.389
u,0.075,0.067,128.545
k,0.109,0.124,128.745
u,0.033,0.118,128.972
y,0.116,0.533,129.539
u,0.101,0.066,129.721
r,0.107,0.192,130.014
u,0.074,0.050,130.171
i,0.074,0.119,130.364
h,0.111,0.837,131.276
i,0.045,0.073,131.460
i,0.067,0.149,131.655
h,0.085,0.565,132.287
i,0.066,0.016,132.389
u,0.049,0.016,132.389
h,0.144,0.422,132.877
i,0.091,0.025,133.046
m,0.099,0.235,133.372
o,0.092,0.008,133.479
h,0.093,0.790,134.362
i,0.077,0.032,134.487
d,0.090,0.409,134.972
o,0.096,0.014,135.076
u,0.044,0.089,135.261
i,0.047,0.099,135.270
i,0.069,0.354,135.671
g,0.050,1.186,136.926
h,0.094,0.469,137.445
i,0.070,0.033,137.572
d,0.071,0.496,138.138
d,0.106,0.090,138.299
o,0.049,0.111,138.516
h,0.095,0.501,139.065
i,0.086,0.045,139.205
d,0.098,0.231,139.522
o,0.079,0.072,139.693
i,0.075,0.177,139.949
u,0.035,0.182,139.955
t,0.091,0.790,140.813
o,0.083,0.034,140.938
u,0.095,0.059,141.080
h,0.130,0.250,141.425
i,0.059,0.077,141.632
t,0.076,1.073,142.765
o,0.098,0.051,142.891
u,0.088,0.082,143.072
h,0.033,0.245,143.405
f,0.077,0.361,143.799
u,0.084,0.046,143.922
t,0.077,0.756,144.762
o,0.056,0.032,144.871
u,0.066,0.144,145.072
f,0.081,1.022,146.160
u,0.053,0.033,146.275
h,0.056,0.727,147.054
a,0.079,0.037,147.148
n,0.034,0.029,147.255
a,0.069,0.035,147.324
u,0.098,0.817,148.210
e,0.101,0.078,148.387
r,0.083,0.201,148.688
u,0.064,0.270,149.041
k,0.128,0.775,149.881
o,0.124,0.876,149.982
e,0.134,0.199,150.305
r,0.046,0.172,150.610
k,0.150,0.449,151.105
o,0.119,0.573,151.229
u,0.093,0.133,151.482
e,0.114,0.318,151.892
n,0.062,0.120,152.126
n,0.071,0.050,152.238
a,0.102,0.613,152.922
t,0.075,0.223,153.248
u,0.077,0.038,153.360
i,0.066,0.134,153.572
z,0.119,0.889,154.526
e,0.083,0.250,154.895
n,0.101,0.142,155.120
i,0.113,0.321,155.542
a,0.130,0.788,156.443
r,0.090,0.258,156.831
a,0.116,0.339,156.912
u,0.096,0.246,157.274
k,0.069,1.218,158.589
a,0.063,0.033,158.692
m,0.078,0.060,158.814
i,0.066,0.032,158.924
m,0.082,0.666,159.656
a,0.055,0.033,159.772
d,0.119,0.215,160.042
a,0.129,0.298,160.125
j,0.067,1.305,161.559
i,0.054,0.079,161.704
k,0.067,0.090,161.848
u,0.066,0.056,161.972
m,0.075,1.018,163.056
a,0.100,0.068,163.199
k,0.084,0.057,163.356
e,0.081,0.070,163.510
a,0.099,0.503,164.095
s,0.093,0.072,164.265
i,0.076,0.037,164.395
k,0.084,0.617,165.088
a,0.056,0.033,165.205
m,0.069,0.180,165.442
a,0.060,0.033,165.544
k,0.081,0.436,166.041
a,0.098,0.034,166.155
m,0.073,0.063,166.315
e,0.099,0.042,166.430
i,0.070,0.292,166.821
a,0.113,0.266,167.157
s,0.073,0.078,167.349
a,0.097,0.469,167.891
i,0.064,0.052,168.040
s,0.094,0.066,168.170
u,0.063,0.063,168.327
b,0.118,0.648,169.038
o,0.073,0.033,169.189
u,0.058,0.079,169.341
s,0.096,0.460,169.859
e,0.099,0.037,169.991
i,0.066,0.032,170.123
b,0.104,0.600,170.788
o,0.062,0.034,170.926
u,0.074,0.368,171.356
s,0.101,0.274,171.704
i,0.078,0.048,171.853
w,0.134,0.472,172.404
a,0.124,0.557,172.488
j,0.050,0.462,173.075
n,0.093,0.148,173.272
a,0.113,0.350,173.714
w,0.119,0.877,174.704
a,0.102,0.977,174.805
n,0.094,0.353,175.260
i,0.132,0.041,175.396
t,0.073,0.854,176.382
o,0.058,0.034,176.489
u,0.075,0.058,176.604
h,0.146,0.266,176.945
u,0.031,0.042,177.133
t,0.074,1.175,178.339
o,0.080,1.227,178.390
r,0.085,0.100,178.571
u,0.060,0.038,178.694
b,0.086,1.324,180.078
i,0.082,1.402,180.155
z,0.077,0.561,180.799
a,0.083,0.071,180.947
h,0.066,0.692,181.722
a,0.049,0.033,181.822
r,0.094,0.172,182.043
u,0.049,0.033,182.171
e,0.084,0.852,183.071
g,0.096,0.353,183.509
a,0.115,0.422,183.578
k,0.078,0.267,183.960
u,0.057,0.082,184.121
j,0.117,1.161,185.339
i,0.054,0.033,185.489
s,0.130,0.281,185.825
a,0.116,0.365,185.908
s,0.101,0.997,187.021
i,0.072,0.048,187.171
r,0.086,0.218,187.461
u,0.062,0.032,187.580
k,0.086,1.296,188.938
e,0.084,0.030,189.054
k,0.070,0.183,189.321
a,0.096,0.057,189.448
n,0.060,0.058,189.603
k,0.083,0.508,190.171
e,0.088,0.032,190.287
k,0.072,0.357,190.732
k,0.095,0.474,191.278
k,0.067,0.466,191.838
e,0.097,0.053,191.958
n,0.057,0.183,192.238
a,0.081,0.284,192.578
k,0.089,0.478,193.137
e,0.077,0.042,193.268
n,0.066,0.183,193.528
k,0.072,0.261,193.855
a,0.090,0.037,193.964
space,0.099,0.660,194.714
o,0.076,7.159,201.972
k,0.096,0.077,202.125
i,0.106,0.053,202.274
r,0.084,0.090,202.471
u,0.052,0.159,202.540
i,0.061,3.413,206.004
t,0.084,0.131,206.196
u,0.074,0.034,206.314
