キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
ctrl,0.389,0.000,4.253
end,0.079,0.252,4.516
k,0.130,6073.781,6078.442
a,0.435,0.020,6078.591
w,0.126,0.169,6078.740
w,0.161,0.473,6079.500
a,0.450,0.006,6079.666
p,0.108,2.145,6082.261
e,0.132,0.150,6082.519
-,0.077,0.516,6083.167
j,0.147,1.101,6084.346
i,0.101,1.240,6084.485
k,0.134,1.826,6086.412
a,0.141,1.949,6086.534
w,0.250,0.291,6086.967
a,0.275,0.508,6087.183
k,0.093,1.453,6088.911
a,0.138,1.520,6088.978
g,0.151,0.293,6089.409
i,0.094,0.364,6089.924
z,0.156,1.215,6091.233
e,0.142,0.168,6091.557
n,0.101,0.226,6091.926
i,0.146,0.288,6091.988
y,0.121,1.149,6093.283
o,0.131,2.014,6095.418
j,0.143,0.742,6096.291
i,0.083,0.300,6096.734
y,0.157,1.559,6098.376
u,0.153,0.634,6099.167
i,0.139,2.318,6101.638
r,0.161,0.207,6101.984
a,0.154,0.340,6102.118
i,0.137,0.024,6102.296
t,0.133,2.750,6105.183
i,0.085,0.185,6105.501
i,0.075,0.075,6105.661
i,0.070,0.055,6105.790
k,0.100,0.347,6106.207
i,0.115,0.080,6106.386
y,0.084,1.333,6107.834
a,0.161,0.115,6108.033
k,0.217,0.124,6108.319
u,0.101,0.101,6108.637
n,0.075,1.465,6110.203
u,0.093,0.124,6110.402
r,0.119,0.104,6110.600
u,0.107,0.171,6110.666
space,0.147,2.404,6113.177
d,0.180,35.718,6149.042
a,0.055,0.014,6149.236
caps_lock,0.000,0.024,6149.315
R,0.100,1.721,6151.036
U,0.096,0.038,6151.174
I,0.125,0.090,6151.359
I,0.100,3.749,6155.233
K,0.207,0.133,6155.466
O,0.169,0.015,6155.688
U,0.118,0.396,6156.252
O,0.109,1.071,6157.442
M,0.162,0.123,6157.674
O,0.142,0.038,6157.874
U,0.081,0.061,6158.077
F,0.116,1.459,6159.618
U,0.071,0.012,6159.746
M,0.082,0.142,6159.959
U,0.078,0.092,6160.133
Z,0.129,1.122,6161.333
E,0.122,0.216,6161.678
H,0.150,0.125,6161.925
I,0.135,0.227,6162.026
T,0.081,1.179,6163.340
R,0.072,0.646,6164.067
U,0.095,0.027,6164.166
S,0.129,0.172,6164.433
U,0.087,0.284,6164.545
A,0.133,1.424,6166.056
M,0.092,0.024,6166.213
A,0.137,0.019,6166.324
A,0.177,0.172,6166.633
I,0.137,0.123,6166.933
S,0.140,2.312,6169.382
I,0.097,0.014,6169.536
T,0.175,0.159,6169.791
A,0.426,0.285,6169.917
M,0.108,0.880,6171.224
A,0.113,0.944,6171.288
K,0.157,0.127,6171.528
E,0.149,0.382,6172.067
D,0.133,1.177,6173.394
O,0.090,0.015,6173.542
U,0.097,0.121,6173.752
Z,0.133,0.484,6174.333
O,0.072,0.016,6174.482
K,0.195,1.317,6175.871
O,0.148,1.453,6176.007
P,0.072,0.361,6176.516
P,0.092,0.061,6176.648
U,0.094,0.775,6177.515
B,0.137,1.036,6178.646
A,0.171,0.016,6178.799
S,0.151,0.205,6179.175
U,0.089,0.329,6179.299
J,0.128,2.053,6181.441
I,0.134,2.166,6181.555
K,0.134,0.118,6181.807
O,0.146,0.215,6181.904
Y,0.107,1.350,6183.400
O,0.115,0.109,6183.616
K,0.100,0.118,6183.849
U,0.101,0.087,6184.037
A,0.167,1.401,6185.539
T,0.065,0.035,6185.740
O,0.105,0.284,6186.090
A,0.191,1.125,6187.320
P,0.077,0.186,6187.698
P,0.092,0.065,6187.841
O,0.085,0.102,6188.035
U,0.088,0.191,6188.310
A,0.203,1.738,6190.137
P,0.090,0.379,6190.719
P,0.102,0.113,6190.922
U,0.081,0.680,6191.704
K,0.107,1.164,6192.949
A,0.074,0.043,6193.098
K,0.146,0.455,6193.628
U,0.113,0.084,6193.858
I,0.097,0.136,6194.107
I,0.067,0.120,6194.324
K,0.100,0.574,6194.966
U,0.100,0.095,6195.161
U,0.079,0.137,6195.398
K,0.080,0.593,6196.070
I,0.100,0.071,6196.222
Y,0.139,2.266,6198.587
O,0.113,0.066,6198.792
B,0.148,1.500,6200.405
U,0.252,0.068,6200.621
F,0.182,2.555,6203.428
U,0.099,2.686,6203.559
K,0.105,0.219,6203.877
U,0.090,0.170,6204.152
T,0.117,1.240,6205.482
O,0.099,0.041,6205.639
T,0.098,0.238,6205.976
I,0.073,0.035,6206.108
U,0.116,2.079,6208.260
S,0.228,0.080,6208.456
A,0.152,0.241,6208.617
I,0.099,0.117,6208.886
B,0.090,1.358,6210.342
A,0.142,1.438,6210.423
A,0.136,0.122,6210.687
I,0.120,0.065,6210.888
U,0.087,1.263,6212.271
S,0.199,0.078,6212.437
A,0.154,0.198,6212.557
U,0.128,0.183,6212.893
U,0.078,0.970,6213.991
S,0.223,0.063,6214.132
A,0.166,0.202,6214.271
I,0.070,0.147,6214.584
right,0.092,35.024,6249.678
