キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
ctrl,0.315,0.019,3.142
end,0.092,0.179,3.302
a,0.089,773.162,776.630
a,0.227,0.083,776.803
a,0.059,0.946,777.976
a,0.186,0.196,778.230
u,0.105,0.000,17.844
d,0.158,0.054,18.003
o,0.116,0.106,18.266
m,0.037,0.209,18.591
n,0.084,0.238,18.866
n,0.076,0.072,19.022
u,0.116,1.585,20.683
d,0.121,0.367,21.166
o,0.106,0.057,21.343
n,0.077,0.456,21.905
n,0.078,0.062,22.044
h,0.159,2.171,24.293
y,0.121,0.030,24.482
o,0.113,0.222,24.825
u,0.116,0.151,25.089
h,0.079,1.716,26.921
a,0.113,0.038,27.037
n,0.095,0.033,27.183
a,0.129,0.027,27.305
t,0.102,1.442,28.875
o,0.072,0.139,29.116
o,0.076,0.067,29.255
i,0.075,0.117,29.448
d,0.171,2.295,31.819
e,0.151,0.137,32.126
a,0.146,0.231,32.508
u,0.113,0.399,33.052
w,0.133,2.784,35.950
a,0.162,0.078,36.160
r,0.151,0.246,36.569
i,0.103,0.066,36.786
y,0.144,1.582,38.471
u,0.102,0.018,38.633
k,0.170,0.466,39.200
a,0.186,0.017,39.388
t,0.071,0.754,40.327
a,0.140,0.038,40.437
k,0.109,0.067,40.643
u,0.091,0.097,40.849
b,0.145,1.343,42.283
a,0.137,1.477,42.417
u,0.120,0.018,42.572
s,0.151,0.130,42.822
u,0.151,0.026,42.999
u,0.087,0.390,43.540
u,0.095,0.323,43.949
s,0.108,0.150,44.195
a,0.220,0.228,44.272
u,0.084,0.172,44.475
s,0.207,0.026,44.585
a,0.097,0.049,44.608
u,0.117,0.073,44.632
a,0.198,0.036,44.828
d,0.151,0.043,44.835
u,0.122,0.106,44.898
b,0.052,0.012,44.999
b,0.169,2.492,47.542
o,0.172,0.041,47.752
t,0.145,0.258,48.182
t,0.249,0.328,48.655
o,0.140,0.129,49.033
o,0.144,0.059,49.232
s,0.214,0.359,49.735
a,0.174,0.373,49.749
n,0.080,0.472,50.421
t,0.115,1.052,51.553
i,0.106,0.231,51.898
k,0.094,0.151,52.155
u,0.091,0.103,52.352
y,0.177,2.307,54.751
o,0.159,2.467,54.911
k,0.156,0.295,55.365
o,0.156,0.430,55.500
g,0.084,1.375,57.032
a,0.118,0.040,57.156
s,0.125,0.090,57.365
u,0.092,0.026,57.516
t,0.075,1.433,59.041
a,0.130,0.075,59.191
m,0.123,0.049,59.370
a,0.170,0.012,59.505
space,0.121,2.220,61.895
p,0.100,14.099,76.115
o,0.082,0.173,76.388
t,0.094,0.504,76.974
t,0.078,0.056,77.123
o,0.124,0.163,77.364
t,0.085,2.029,79.517
a,0.130,0.054,79.656
m,0.130,0.240,80.027
e,0.133,0.365,80.151
i,0.102,1.285,81.569
g,0.092,0.377,82.048
a,0.135,0.050,82.190
i,0.113,0.033,82.357
b,0.125,1.720,84.190
a,0.150,0.017,84.332
s,0.070,0.758,85.240
a,0.113,0.150,85.460
i,0.101,0.185,85.759
a,0.180,0.950,86.809
p,0.126,1.993,88.982
a,0.135,0.058,89.166
d,0.077,0.571,89.872
d,0.119,0.116,90.066
o,0.127,0.081,90.265
h,0.098,2.831,93.224
a,0.124,2.918,93.311
s,0.136,0.084,93.519
i,0.069,0.032,93.687
right,0.078,9.964,103.720
