recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck
209813626,"{'steamid': '76561198300648569', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 19181, 'playtime_last_two_weeks': 1333, 'playtime_at_review': 17847, 'last_played': 1765202649}",japanese,"ゲームをしながら多国籍な方たちと交流ができる一石二鳥な出会い系です
どのゲームもそうですが、暴言を言われたら言い返しましょう、母国語しか喋れないなら日本語で喋り返しましょう、邪魔をしてきたなら撃ち合いの最中にフラッシュをひとつまみ入れてみてください。
やられて嫌なことはやり返す。そうすることで、あなたは快適なゲームライフを送ることができますよ？",1763781697,1763781697,True,9,1,0.603461802005767822,0,True,False,False,False
209181521,"{'steamid': '76561199560403450', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 2514, 'playtime_last_two_weeks': 195, 'playtime_at_review': 2172, 'last_played': 1764932595}",japanese,このゲームはとても面白いのですが、チートをする人が多くて。,1763110948,1763110948,True,2,0,0.54356849193572998,0,True,False,False,False
212848598,"{'steamid': '76561199467905364', 'num_games_owned': 36, 'num_reviews': 6, 'playtime_forever': 12089, 'playtime_last_two_weeks': 187, 'playtime_at_review': 12089, 'last_played': 1765197703}",japanese,とりあえずvarolantとかいうパクリゲーやる前に本家やろうぜ,1765201744,1765201744,True,0,0,0.476190477609634399,0,True,False,False,False
212833441,"{'steamid': '76561199010195536', 'num_games_owned': 32, 'num_reviews': 1, 'playtime_forever': 1910, 'playtime_last_two_weeks': 546, 'playtime_at_review': 1860, 'last_played': 1765181068}",japanese,valorantよりおもろい,1765178223,1765178223,True,0,0,0.476190477609634399,0,True,False,False,False
209759958,"{'steamid': '76561199496600843', 'num_games_owned': 70, 'num_reviews': 2, 'playtime_forever': 26585, 'playtime_last_two_weeks': 2124, 'playtime_at_review': 23845, 'last_played': 1765264344}",japanese,自从更新后，感觉不是很好玩了,1763726573,1763726573,True,0,0,0.434782594442367554,0,True,False,False,False
209760028,"{'steamid': '76561199806968145', 'num_games_owned': 6, 'num_reviews': 1, 'playtime_forever': 5385, 'playtime_last_two_weeks': 1633, 'playtime_at_review': 2816, 'last_played': 1765176396}",japanese,good,1763726673,1763726673,True,0,0,0.5,0,True,False,False,False
210858392,"{'steamid': '76561198195909701', 'num_games_owned': 28, 'num_reviews': 1, 'playtime_forever': 44551, 'playtime_last_two_weeks': 271, 'playtime_at_review': 44319, 'last_played': 1765202996}",japanese,Лучшая игра,1764162085,1764162085,True,1,1,0.519230782985687256,0,True,False,False,False
209112769,"{'steamid': '76561199470632854', 'num_games_owned': 14, 'num_reviews': 1, 'playtime_forever': 77526, 'playtime_last_two_weeks': 704, 'playtime_at_review': 76174, 'last_played': 1765115842}",japanese,"とても良いゲーム
good game
",1763036275,1763036275,True,0,0,0.5,0,True,False,False,False
209725542,"{'steamid': '76561198237599412', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 89186, 'playtime_last_two_weeks': 1363, 'playtime_at_review': 86271, 'last_played': 1764990175}",japanese,https://steamcommunity.com/id/getboris/inventory/#730_2_41640713720,1763676255,1763676255,True,0,0,0.47413790225982666,0,True,False,False,False
209701597,"{'steamid': '76561198786443332', 'num_games_owned': 2, 'num_reviews': 1, 'playtime_forever': 5378, 'playtime_last_two_weeks': 2887, 'playtime_at_review': 2370, 'last_played': 1765202020}",japanese,"https://steamcommunity.com/id/kisats/inventory/#730_2_39948978178
https://steamcommunity.com/profiles/76561197991348083/inventory/#730_2_48223106",1763656091,1763901695,True,0,0,0.47413790225982666,0,True,False,False,False
208829162,"{'steamid': '76561198364404299', 'num_games_owned': 47, 'num_reviews': 3, 'playtime_forever': 100131, 'playtime_last_two_weeks': 88, 'playtime_at_review': 99796, 'last_played': 1764730240}",japanese,https://steamcommunity.com/profiles/76561198130444302/inventory/#730_2_6870634466 https://steamcommunity.com/profiles/76561198130444302/inventory/#730_2_5991964347,1762714699,1762714813,True,1,0,0.523809552192687988,0,True,False,False,False
211807025,"{'steamid': '76561199487869450', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 31065, 'playtime_last_two_weeks': 1399, 'playtime_at_review': 30083, 'last_played': 1765190012}",japanese,非常に素晴らしいゲーム,1764478159,1764478159,True,0,0,0.5,0,True,False,False,False
209841503,"{'steamid': '76561198038957055', 'num_games_owned': 72, 'num_reviews': 1, 'playtime_forever': 17840, 'playtime_last_two_weeks': 2414, 'playtime_at_review': 14309, 'last_played': 1765258039}",japanese,god,1763816084,1763816084,True,0,0,0.5,0,True,False,False,False
211566389,"{'steamid': '76561199753685809', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 6387, 'playtime_last_two_weeks': 382, 'playtime_at_review': 6183, 'last_played': 1765101139}",japanese,すてきなげーむ,1764391628,1764391628,True,1,0,0.523809552192687988,0,True,False,False,False
210748640,"{'steamid': '76561199560659874', 'num_games_owned': 2, 'num_reviews': 1, 'playtime_forever': 16481, 'playtime_last_two_weeks': 3038, 'playtime_at_review': 13884, 'last_played': 1765189378}",japanese,https://steamcommunity.com/id/ITFYTD/inventory/#730_2_47874899861,1764129223,1764129602,True,1,0,0.523809552192687988,0,True,False,False,False
