recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck
211342340,"{'steamid': '76561199234812358', 'num_games_owned': 12, 'num_reviews': 1, 'playtime_forever': 2121, 'playtime_last_two_weeks': 461, 'playtime_at_review': 1682, 'last_played': 1764833599}",japanese,ゲーマーなら絶対に、ネタバレを見ずにプレイしてほしい。ゲームを作った人が曲も作っているので、BGMが場面にピタッとハマってきて涙を誘う。これ以上ない神ゲー。,1764310155,1764310155,True,1,0,0.523809552192687988,0,True,False,False,False
209367211,"{'steamid': '76561199630054031', 'num_games_owned': 0, 'num_reviews': 3, 'playtime_forever': 2152, 'playtime_last_two_weeks': 79, 'playtime_at_review': 2072, 'last_played': 1764482583}",japanese,"初めに、もしまだこの作品について何も知らず購入を迷ってる人がいたら、今すぐレビューを読むのを止めて、迷わず購入することを強くお勧めしたい。もしそれでも迷うなら、せめてこのレビューを読んだ後にでも購入してほしい。無論、このゲームを知ってはいるが、やったことがないという人にもお勧めしたい。(私はそうだったが、十分楽しめている。)
できる限りネタバレは控えるが、もし不快にさせてしまった人がいたら申し訳ない。

まず、今作の特徴は何といっても「細部に至るまでの高いクオリティ」と「高いの自由度」にあると思う。
細部に至るまでの高いクオリティというのは、　例えばストーリーの面白さはもちろん、BGMの良さ、戦闘一つ一つの面白さ、アイテムの豊富さなどからくる攻略の面白さなど、枚挙に暇がない。そして何よりも、このゲームには俗にいう「小ネタ」が信じられないくらい多く詰め込まれており、発売から10年たった今でもその全ては見つけられたのか分からない程だ。
少々ひとつ前の内容と被ってしまうが、高い自由度というのは、例えばストーリーを攻略する中で何の装備を選ぶとか、アイテムを選ぶとか。攻略し終わったならボス戦をひたすらやってみてもいい。ストーリーの内容が気になったなら、考察してみればいい。細かい分岐が気になるなら、思いつく限り試してみればいい。PC版限定になってしまうが、没イベントや没BGMなんかを探してみるのも一興だろう。とにかく、できることが多すぎる。

強いて苦しい点を挙げるなら、一部ボスの攻略難易度が高い。人によっては数日~数か月攻略にかかってしまうようなボスも存在する。だが、決して攻略不能な程ではないし、強い攻略法も用意されているので、そこまで悲観しないでほしい。

長々と書いてしまったが、総じて言いたいことは、このゲームをよく知らない人からやったことはないが没データまで知り尽くした人にまで、幅広くお勧めしたい作品だと私は思う。",1763282589,1763282589,True,1,0,0.523809552192687988,0,True,False,False,False
212899196,"{'steamid': '76561198185355402', 'num_games_owned': 0, 'num_reviews': 7, 'playtime_forever': 819, 'playtime_last_two_weeks': 0, 'playtime_at_review': 819, 'last_played': 1705119615}",japanese,"数年前にプレイして今更レビューを投稿する。
初めてクリアしたとき曲と演出に泣きながら[spoiler]アズリエル[/spoiler]と戦ったのはいまだに覚えている。",1765263870,1765263870,True,0,0,0.5,0,True,False,False,False
212852941,"{'steamid': '76561199546205999', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 2453, 'playtime_last_two_weeks': 90, 'playtime_at_review': 2362, 'last_played': 1765276043}",japanese,BGMがとても良い,1765206409,1765206409,True,0,0,0.5,0,True,False,False,False
212766521,"{'steamid': '76561198806007249', 'num_games_owned': 0, 'num_reviews': 10, 'playtime_forever': 283, 'playtime_last_two_weeks': 0, 'playtime_at_review': 283, 'last_played': 1745050417}",japanese,"神ゲー。
曲がよすぎる。
みんなもオーケストラコンサートに行こう",1765105695,1765105695,True,0,0,0.5,0,True,False,False,False
212625324,"{'steamid': '76561198823543333', 'num_games_owned': 21, 'num_reviews': 7, 'playtime_forever': 2472, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2472, 'last_played': 1589705034}",japanese,全ルートやりました。おもしろかったです。お話もアクションの難易度もよかったです。あれ以上難しかったら心が折れていたかもしれない。相手の攻撃を一つ一つ分割して、ミニゲームの連続ととらえればそう困りはしないと思います。困難は分割せよって昔の偉い人も言ってました。ゲーム外での楽しみもいろいろあって、youtubeに動画がいっぱい上がっているので、深堀りしたくなった方は探してみるといいでしょう。,1764952696,1764952696,True,0,0,0.5,0,True,False,False,False
209667451,"{'steamid': '76561199793796495', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 2880, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2851, 'last_played': 1763788085}",japanese,Pルートでは、今までに体験したことのないゲームをさせていただきました。ストーリー、ゲーム性、キャラクター、すべて完璧でした。楽しかったです。Ｇルートは、悲しかったです。またします。,1763609910,1763609910,True,0,1,0.5,1,True,False,False,False
209254503,"{'steamid': '76561199633651408', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 3132, 'playtime_last_two_weeks': 1795, 'playtime_at_review': 546, 'last_played': 1765254076}",japanese,"super fun and cool. so many boss fights and the omega flowey final boss is so scary and cool. totally recommend it
",1763186687,1763186687,True,0,0,0.5,0,True,False,False,False
209022832,"{'steamid': '76561199499774877', 'num_games_owned': 0, 'num_reviews': 30, 'playtime_forever': 414, 'playtime_last_two_weeks': 0, 'playtime_at_review': 414, 'last_played': 1718519222}",japanese,"言わずと知れた名作RPG。動画を調べればそれこそ数えられないほどヒットする。ファンゲームも大量に存在し、本ゲームのことを全くしらずにこのページを閲覧している人はいないんじゃないかと思うほど

RPGなのだが、戦闘はシューティングっぽさがあり、戦闘の面白さは最後まで欠けることはない。特にストーリーはここでは語り尽くせないほどよくできている
ストーリー重視のプレイヤーも、ゲーム性重視のプレイヤーも、最後まで遊ぶことができる素晴らしいゲームであることは言うまでもない",1762945628,1762945628,True,0,0,0.5,0,True,False,False,False
212696938,"{'steamid': '76561198771904822', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 57, 'playtime_last_two_weeks': 57, 'playtime_at_review': 57, 'last_played': 1765068196}",japanese,"とリエルはおれがころした
パピルスもおれがころした",1765032313,1765068277,True,0,0,0.5,0,True,False,False,False
209346309,"{'steamid': '76561198373792158', 'num_games_owned': 0, 'num_reviews': 28, 'playtime_forever': 1127, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1127, 'last_played': 1540468975}",japanese,"良かった。
次回作もチャプター全部出たら遊びたい。",1763259689,1763259689,True,0,0,0.5,0,True,False,False,False
210867647,"{'steamid': '76561199801131538', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 1212, 'playtime_last_two_weeks': 1212, 'playtime_at_review': 208, 'last_played': 1764995288}",japanese,操作も簡単だし楽しい,1764164180,1764164180,True,0,0,0.5,0,True,False,False,False
211785803,"{'steamid': '76561199691194218', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1814, 'playtime_last_two_weeks': 1, 'playtime_at_review': 1814, 'last_played': 1764467469}",japanese,何周もできて楽しい,1764467528,1764467528,True,0,0,0.5,0,True,False,False,False
212370159,"{'steamid': '76561198788025910', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 431, 'playtime_last_two_weeks': 148, 'playtime_at_review': 425, 'last_played': 1764631335}",japanese,面白い　謎解き　気持ち悪さ　（）（１０＋９９９９９９９９９９）,1764630978,1764630978,True,0,0,0.5,0,True,False,False,False
211643429,"{'steamid': '76561198948405990', 'num_games_owned': 35, 'num_reviews': 21, 'playtime_forever': 699, 'playtime_last_two_weeks': 246, 'playtime_at_review': 533, 'last_played': 1764674646}",japanese,BGM神,1764422094,1764422094,True,0,0,0.5,0,True,False,False,False
212895218,"{'steamid': '76561199571162505', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 7357, 'playtime_last_two_weeks': 10, 'playtime_at_review': 7357, 'deck_playtime_at_review': 7346, 'last_played': 1764974245}",japanese,神,1765256555,1765256555,True,0,0,0.5,0,True,True,False,True
208774293,"{'steamid': '76561198065772304', 'num_games_owned': 0, 'num_reviews': 117, 'playtime_forever': 1366, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1366, 'last_played': 1483883735}",japanese,👍,1762661624,1762661624,True,0,0,0.5,0,True,False,False,False
208795615,"{'steamid': '76561198771039472', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 944, 'playtime_last_two_weeks': 176, 'playtime_at_review': 338, 'last_played': 1765025743}",japanese,泣ける,1762686914,1762686914,True,0,0,0.5,0,True,False,False,False
